"CardName","Program","Issuer","Link","IntroOffer","Cash","Points","Nights","Credit","FeeWaived1stYr","Fee","Spend","img","Rate","MaxValue","isMax","newMax","x2017.04.04.1","x2017.04.04","x2017.04.03","x2017.03.23","x2017.03.22","x2017.03.21","x2017.03.19","x2017.03.18","x2017.03.16","x2017.03.15","x2017.03.14","x2017.03.13","x2017.03.10","x2017.03.09","x2017.03.07","x2017.03.06","x2017.03.03","x2017.03.02","x2017.03.01","x2017.02.28","x2017.02.27","x2017.02.24","x2017.02.23","x2017.02.22","x2017.02.21","x2017.02.16","x2017.02.15","x2017.02.13"
"Asiana Visa Signature","Asiana","BOA","https://www.bankofamerica.com/credit-cards/products/asiana-airlines-credit-card/","30,000 bonus miles offer",0,30000,0,0,0,99,3000,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/1bbu_sigcm_v_250x158.png",0.01,420,FALSE,FALSE,201,201,201,321,321,321,321,321,420,321,321,321,321,321,321,321,321,201,201,201,201,201,201,201,201,201,201,201
"AT&T Access Card From Citi","AT&T","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-att-access-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~6AKZ17D681C2111111W","Earn 10,000 Bonus ThankYou® Points after making 1,000 in purchases within 3 months of account opening.Plus earn 2X points on purchases made online at retail and travel websites.",0,10000,0,0,0,0,0,"https://www.citi.com/CRD/images/card_no_reflection/citi-att-access-credit-card.jpg",0.01,160,FALSE,FALSE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,160,160,160,160,160,160,160,160,160,160
"BankAmericard","BOA","BOA","https://www.bankofamerica.com/credit-cards/products/bankamericard-credit-card/","The perfect card for those seeking a simple yet convenient-to-use credit card",0,0,0,0,0,0,0,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/8aze_nrwcm_mc_250x158.png",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BankAmericard Better Balance Rewards","BOA","BOA","https://www.bankofamerica.com/credit-cards/products/better-balance-rewards/","Earn $25 per quarter to pay down your balance faster when you pay more than the monthly minimum on time each month",0,0,0,0,0,0,0,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/8byq_bbrpltcm_mc_250x158.png",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BankAmericard Cash Rewards","BOA","BOA","https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/","$100 online cash rewards bonus offer",100,0,0,0,0,0,500,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/8beb_cshsigcm_v_250x158.png",0.01,100,TRUE,FALSE,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"BankAmericard Cash Rewards for Students","BOA","BOA","https://www.bankofamerica.com/credit-cards/products/student-cash-back-credit-card/","Start building your financial future",0,0,0,0,0,0,500,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/8azc_cshcm_v_250x158.png",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BankAmericard for Students","BOA","BOA","https://www.bankofamerica.com/credit-cards/products/low-interest-student-credit-card/","Start building your financial future",0,0,0,0,0,0,0,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/8aze_nrwcm_mc_250x158.png",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BankAmericard Secured","BOA","BOA","https://www.bankofamerica.com/credit-cards/products/secured-credit-card/","Help establish, strengthen - or even rebuild your credit with a card that's simple and convenient",0,0,0,0,0,39,0,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/8aze_nrwcm_mc_250x158.png",0.01,0,FALSE,FALSE,-39,-39,-39,-39,-39,-39,-39,-39,0,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39
"BankAmericard Travel Rewards","BOA","BOA","https://www.bankofamerica.com/credit-cards/products/bankamericard-travel-rewards-credit-card/","20,000 online bonus points offer",0,20000,0,0,0,0,1000,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/8blm_trvsigcm_v_250x158.png",0.01,200,TRUE,FALSE,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"BankAmericard Travel Rewards for Students","BOA","BOA","https://www.bankofamerica.com/credit-cards/products/student-rewards-credit-card/","Start building your financial future",0,0,0,0,0,0,1000,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/8blm_trvcm_v_250x158.png",0.01,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
